,Name,Rating,No. of Reviews,Type of Company
570,SS&C TECHNOLOGIES,3.2,1.8k,IT Services & Consulting 
571,USHA International,4.0,1.8k,Consumer Electronics & Appliances 
572,Reckitt Benckiser,3.9,1.8k,FMCG 
573,Pine Labs,3.2,1.8k,FinTech 
574,Stellar Migration,1.3,1.8k,Other 
575,USV,4.0,1.8k,Pharma 
576,LivSpace,3.3,1.8k,Architecture & Interior Design 
577,XBP Global,3.2,1.8k,Internet 
578,Tata Communications Transformation Services,3.8,1.8k,Telecom 
579,HDFC Securities,3.4,1.8k,Financial Services 
